danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,release_date,popularity,artist
0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,audio_features,4TCL0qqKyqsMZml0G3M9IM,spotify:track:4TCL0qqKyqsMZml0G3M9IM,https://api.spotify.com/v1/tracks/4TCL0qqKyqsMZml0G3M9IM,https://api.spotify.com/v1/audio-analysis/4TCL0qqKyqsMZml0G3M9IM,220640,4,Telephone,2009-11-05,72,Lady Gaga
0.719,0.804,10,-4.581,1,0.0355,0.0132,0.00000302,0.139,0.605,119.999,audio_features,55qBw1900pZKfXJ6Q9A2Lc,spotify:track:55qBw1900pZKfXJ6Q9A2Lc,https://api.spotify.com/v1/tracks/55qBw1900pZKfXJ6Q9A2Lc,https://api.spotify.com/v1/audio-analysis/55qBw1900pZKfXJ6Q9A2Lc,227760,4,Teenage Dream,2012-03-12,66,Katy Perry
0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,audio_features,7BqBn9nzAq8spo5e7cZ0dJ,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,220734,4,Just the Way You Are,2010-10-05,82,Bruno Mars
0.767,0.824,7,-4.558,0,0.0479,0.174,0,0.357,0.623,129.96,audio_features,2MIqLCofYbazo7rXz5RErV,spotify:track:2MIqLCofYbazo7rXz5RErV,https://api.spotify.com/v1/tracks/2MIqLCofYbazo7rXz5RErV,https://api.spotify.com/v1/audio-analysis/2MIqLCofYbazo7rXz5RErV,214760,4,Cooler Than Me - Single Mix,2010-04-05,52,Mike Posner
0.597,0.517,0,-6.963,1,0.365,0.179,0,0.307,0.412,92.035,audio_features,5OiLJ8tjUPFiPX2gVM8fxJ,spotify:track:5OiLJ8tjUPFiPX2gVM8fxJ,https://api.spotify.com/v1/tracks/5OiLJ8tjUPFiPX2gVM8fxJ,https://api.spotify.com/v1/audio-analysis/5OiLJ8tjUPFiPX2gVM8fxJ,257560,4,Imma Be,2009-01-01,1,Black Eyed Peas
0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,audio_features,2igwFfvr1OAGX9SKDCPBwO,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920,4,Empire State Of Mind,2009-09-08,83,JAY-Z
0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,audio_features,4356Typ82hUiFAynbLYbPn,spotify:track:4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/tracks/4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/audio-analysis/4356Typ82hUiFAynbLYbPn,220800,4,DJ Got Us Fallin' In Love (feat. Pitbull),2010-03-30,79,Usher
0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,audio_features,2M9ULmQwTaTGmAdXaXpfz5,spotify:track:2M9ULmQwTaTGmAdXaXpfz5,https://api.spotify.com/v1/tracks/2M9ULmQwTaTGmAdXaXpfz5,https://api.spotify.com/v1/audio-analysis/2M9ULmQwTaTGmAdXaXpfz5,211160,4,Billionaire (feat. Bruno Mars),2010-03-09,71,Travie McCoy
0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133,5,Not Afraid,2010-06-18,80,Eminem
0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,audio_features,5vlEg2fT4cFWAqU5QptIpQ,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,https://api.spotify.com/v1/tracks/5vlEg2fT4cFWAqU5QptIpQ,https://api.spotify.com/v1/audio-analysis/5vlEg2fT4cFWAqU5QptIpQ,182307,4,Replay,2009-08-11,72,Iyaz
0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,audio_features,0pBMFlAy7mQeUMQKaN4y8x,spotify:track:0pBMFlAy7mQeUMQKaN4y8x,https://api.spotify.com/v1/tracks/0pBMFlAy7mQeUMQKaN4y8x,https://api.spotify.com/v1/audio-analysis/0pBMFlAy7mQeUMQKaN4y8x,195853,4,Sexy Bitch (feat. Akon),2011-08-05,46,David Guetta
0.627,0.699,10,-4.504,1,0.0244,0.174,0,0.0789,0.535,94.003,audio_features,38xWaVFKaxZlMFvzNff2aW,spotify:track:38xWaVFKaxZlMFvzNff2aW,https://api.spotify.com/v1/tracks/38xWaVFKaxZlMFvzNff2aW,https://api.spotify.com/v1/audio-analysis/38xWaVFKaxZlMFvzNff2aW,261427,4,Breakeven,2008-09-08,68,The Script
0.826,0.612,1,-3.891,1,0.0982,0.00681,0,0.0889,0.756,120.057,audio_features,6vc2Jq2vaGu8z326kSrw92,spotify:track:6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,187133,4,Your Love Is My Drug,2010-01-01,69,Kesha
0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,audio_features,4vp2J1l5RD4gMZwGFLfRAu,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu,289133,4,I Gotta Feeling,2009-01-01,10,Black Eyed Peas
0.57,0.65,3,-6.831,1,0.0389,0.0357,0,0.123,0.441,90.023,audio_features,3z9RppC428EaPSCtD49alh,spotify:track:3z9RppC428EaPSCtD49alh,https://api.spotify.com/v1/tracks/3z9RppC428EaPSCtD49alh,https://api.spotify.com/v1/audio-analysis/3z9RppC428EaPSCtD49alh,228747,4,Fireflies,2009-01-01,21,Owl City
